Frame,TimeElapsedMicros,RawDifference,RMSE,SelectedPixelDifference,PositTime
1,0,0,0,0,1726717776445
2,33.36666666666667,68545.0,1.6427982,313395,1726717776478
3,66.73333333333333,74072.0,2.051165,498015,1726717776511
4,100.10000000000001,63766.0,1.5811965,213690,1726717776545
5,133.46666666666667,94754.0,2.6072352,567120,1726717776578
6,166.83333333333334,94573.0,1.839176,362355,1726717776611
7,200.20000000000002,85261.0,2.018401,259080,1726717776645
8,233.56666666666666,78284.0,1.62036,412080,1726717776678
9,266.93333333333334,92824.0,2.3841872,553095,1726717776711
10,300.3,87860.0,2.081153,554625,1726717776745
11,333.6666666666667,106626.0,2.698858,576300,1726717776778
12,367.03333333333336,92934.0,2.815658,657135,1726717776812
13,400.40000000000003,66753.0,1.702932,312885,1726717776845
14,433.7666666666667,125829.0,3.4469619,773415,1726717776878
15,467.1333333333333,93441.0,2.6001296,481185,1726717776912
16,500.50000000000006,176268.0,4.5637927,1019490,1726717776945
17,533.8666666666667,121169.0,3.4563532,862665,1726717776978
18,567.2333333333333,172384.0,4.5402045,935085,1726717777012
19,600.6,114523.0,3.581586,702270,1726717777045
20,633.9666666666667,113286.0,3.6723135,508470,1726717777078
21,667.3333333333334,126741.0,3.9492404,673965,1726717777112
22,700.7,133391.0,3.9825716,633420,1726717777145
23,734.0666666666667,105570.0,3.3711803,457980,1726717777179
24,767.4333333333334,127794.0,3.7491918,652290,1726717777212
25,800.8000000000001,103978.0,3.074457,514590,1726717777245
26,834.1666666666667,87429.0,2.3645115,378930,1726717777279
27,867.5333333333334,71769.0,2.077655,333540,1726717777312
28,900.9000000000001,77965.0,2.2607677,323340,1726717777345
29,934.2666666666667,94635.0,2.7627397,662235,1726717777379
30,967.6333333333333,97415.0,3.0744543,491640,1726717777412
31,1001.0000000000001,131270.0,3.5892563,677535,1726717777446
32,1034.3666666666666,111985.0,3.7604303,554370,1726717777479
33,1067.7333333333333,122258.0,3.9507523,582420,1726717777512
34,1101.1,118805.0,3.8089855,626280,1726717777546
35,1134.4666666666667,110895.0,3.5523498,518670,1726717777579
36,1167.8333333333333,108660.0,3.402847,562530,1726717777612
37,1201.2,96421.0,2.8694859,441405,1726717777646
38,1234.5666666666668,83251.0,2.4396098,401880,1726717777679
39,1267.9333333333334,72928.0,2.0494409,349860,1726717777712
40,1301.3000000000002,83206.0,2.3967738,405195,1726717777746
41,1334.6666666666667,84707.0,2.426454,416925,1726717777779
42,1368.0333333333335,87755.0,2.627,561255,1726717777813
43,1401.4,102440.0,3.2600734,521475,1726717777846
44,1434.7666666666667,104589.0,3.4286425,598740,1726717777879
45,1468.1333333333334,115375.0,3.5818777,642600,1726717777913
46,1501.5,131132.0,3.9914012,622965,1726717777946
47,1534.8666666666668,117169.0,3.6620436,622965,1726717777979
48,1568.2333333333333,121739.0,3.7969966,479655,1726717778013
49,1601.6000000000001,118154.0,3.626493,662745,1726717778046
50,1634.9666666666667,111935.0,3.4588547,578850,1726717778079
51,1668.3333333333335,101644.0,3.1315308,519690,1726717778113
52,1701.7,91824.0,2.872781,406215,1726717778146
53,1735.0666666666668,72915.0,2.27552,409785,1726717778180
54,1768.4333333333336,66098.0,1.827075,225420,1726717778213
55,1801.8000000000002,74656.0,2.1315892,398820,1726717778246
56,1835.1666666666667,67956.0,2.0565524,270810,1726717778280
57,1868.5333333333333,97621.0,2.9429333,675750,1726717778313
58,1901.9,88901.0,2.953588,383010,1726717778346
59,1935.2666666666667,100058.0,3.4448113,565845,1726717778380
60,1968.6333333333334,94532.0,3.3334744,547995,1726717778413
61,2002.0000000000002,126452.0,3.6260002,513315,1726717778447
62,2035.3666666666666,113581.0,3.5219758,619140,1726717778480
63,2068.733333333333,99086.0,3.3764174,513060,1726717778513
64,2102.1,100783.0,3.0512426,442935,1726717778547
65,2135.4666666666667,87462.0,2.6498587,393720,1726717778580
66,2168.8333333333335,72875.0,2.1148033,261885,1726717778613
67,2202.2,82696.0,2.343425,342720,1726717778647
68,2235.5666666666666,80453.0,2.2933164,514335,1726717778680
69,2268.9333333333334,77269.0,2.210736,302175,1726717778713
70,2302.3,89219.0,2.7785914,596445,1726717778747
71,2335.6666666666665,83011.0,2.7868395,383010,1726717778780
72,2369.0333333333333,95868.0,3.2618682,423045,1726717778814
73,2402.4,109172.0,3.5782974,529635,1726717778847
74,2435.766666666667,112389.0,3.6586223,518160,1726717778880
75,2469.1333333333337,98027.0,3.1369517,521475,1726717778914
76,2502.5,96745.0,3.0694008,523770,1726717778947
77,2535.866666666667,86552.0,2.6378913,385815,1726717778980
78,2569.2333333333336,76895.0,2.1769216,369750,1726717779014
79,2602.6000000000004,65751.0,1.9093852,221595,1726717779047
80,2635.966666666667,86512.0,2.405606,393720,1726717779080
81,2669.3333333333335,76650.0,2.027946,314415,1726717779114
82,2702.7000000000003,91094.0,2.8617563,371025,1726717779147
83,2736.066666666667,106265.0,3.3001177,465120,1726717779181
84,2769.433333333334,111741.0,2.9524217,416670,1726717779214
85,2802.8,148250.0,3.4701564,442680,1726717779247
86,2836.1666666666665,101989.0,3.0265486,488325,1726717779281
87,2869.5333333333333,102236.0,3.1387436,521475,1726717779314
88,2902.9,91964.0,2.737274,439620,1726717779347
89,2936.266666666667,95889.0,2.5609808,368985,1726717779381
90,2969.633333333333,76235.0,2.0423884,266985,1726717779414
91,3003.0,85819.0,1.9660423,190485,1726717779448
92,3036.366666666667,78410.0,2.1412916,352665,1726717779481
93,3069.7333333333336,82844.0,2.3291461,359805,1726717779514
94,3103.1,86689.0,2.4796615,378675,1726717779548
95,3136.4666666666667,98648.0,3.1063905,479910,1726717779581
96,3169.8333333333335,100001.0,3.239773,411570,1726717779614
97,3203.2000000000003,91610.0,3.0013962,411570,1726717779648
98,3236.566666666667,99579.0,3.235032,506940,1726717779681
99,3269.9333333333334,92577.0,3.0134416,488070,1726717779714
100,3303.3,90873.0,2.867601,464355,1726717779748
101,3336.666666666667,76542.0,2.2445564,309825,1726717779781
102,3370.0333333333338,71634.0,1.8346491,231795,1726717779815
103,3403.4,80507.0,2.0723794,275145,1726717779848
104,3436.766666666667,79177.0,2.2487721,311610,1726717779881
105,3470.1333333333337,84132.0,2.286189,292485,1726717779915
106,3503.5000000000005,93175.0,2.7815185,332775,1726717779948
107,3536.8666666666672,86332.0,2.747897,344505,1726717779981
108,3570.2333333333336,92496.0,3.0239518,342975,1726717780015
109,3603.6000000000004,112910.0,3.4417076,550290,1726717780048
110,3636.9666666666667,99452.0,3.0600884,410805,1726717780081
111,3670.3333333333335,97521.0,2.96029,434010,1726717780115
112,3703.7,87502.0,2.6748283,427380,1726717780148
113,3737.0666666666666,84705.0,2.3849182,366945,1726717780182
114,3770.4333333333334,68610.0,1.7463764,170340,1726717780215
115,3803.8,93539.0,2.579709,480930,1726717780248
116,3837.166666666667,84125.0,2.1748674,347820,1726717780282
117,3870.5333333333333,99747.0,2.5248716,334305,1726717780315
118,3903.9,103372.0,2.8659277,505665,1726717780348
119,3937.266666666667,90230.0,2.8557599,419730,1726717780382
120,3970.6333333333337,116327.0,3.5343852,531930,1726717780415
121,4004.0000000000005,105589.0,3.096282,465885,1726717780449
122,4037.3666666666672,114126.0,3.4653747,559215,1726717780482
123,4070.733333333333,105714.0,3.2745874,462570,1726717780515
124,4104.099999999999,98414.0,2.9998524,524025,1726717780549
125,4137.466666666666,93430.0,2.7394543,472260,1726717780582
126,4170.833333333333,88085.0,2.3396122,243015,1726717780615
127,4204.2,78073.0,2.0646226,299115,1726717780649
